date,source,generation_gwh,unit
2013-10-01,Electricity Generation by Mixed,84.49,GWh
2013-10-01,Electricity Generation by Wind,11.54,GWh
2013-11-01,Total Electricity Generation by all sources,6820.41,GWh
2013-11-01,Electricity Generation by Hydel,2508.73,GWh
2013-11-01,Electricity Generation by Coal,6.14,GWh
2013-11-01,Electricity Generation by High Speed Diesel (HSD),29.33,GWh
2013-11-01,Electricity Generation by Residual Fuel Oil (RFO),2348.43,GWh
2013-11-01,Electricity Generation by Gas,1384.59,GWh
2013-11-01,Electricity Generation by Nuclear,416.15,GWh
2013-11-01,Electricity Imported from Iran,28.22,GWh
2013-11-01,Electricity Generation by Mixed,86.18,GWh
2013-11-01,Electricity Generation by Wind,12.64,GWh
2013-12-01,Total Electricity Generation by all sources,6943.29,GWh
2013-12-01,Electricity Generation by Hydel,1917.84,GWh
2013-12-01,Electricity Generation by High Speed Diesel (HSD),66.25,GWh
2013-12-01,Electricity Generation by Residual Fuel Oil (RFO),2940.26,GWh
2013-12-01,Electricity Generation by Gas,1436.52,GWh
2013-12-01,Electricity Generation by Nuclear,434.45,GWh
2013-12-01,Electricity Imported from Iran,28.7,GWh
2013-12-01,Electricity Generation by Mixed,104.27,GWh
2013-12-01,Electricity Generation by Wind,15.0,GWh
2014-01-01,Total Electricity Generation by all sources,6398.56,GWh
2014-01-01,Electricity Generation by Hydel,865.91,GWh
2014-01-01,Electricity Generation by Coal,6.79,GWh
2014-01-01,Electricity Generation by High Speed Diesel (HSD),196.45,GWh
2014-01-01,Electricity Generation by Residual Fuel Oil (RFO),3487.89,GWh
2014-01-01,Electricity Generation by Gas,1227.66,GWh
2014-01-01,Electricity Generation by Nuclear,452.45,GWh
2014-01-01,Electricity Imported from Iran,31.03,GWh
2014-01-01,Electricity Generation by Mixed,110.1,GWh
2014-01-01,Electricity Generation by Wind,20.28,GWh
2014-02-01,Total Electricity Generation by all sources,6009.2,GWh
2014-02-01,Electricity Generation by Hydel,2008.44,GWh
