date,total_generation_gwh,renewable_generation_gwh,renewable_share_pct,year,month,yoy_growth_pct
2019-01-01,7763.58,763.51,9.834509337187225,2019,1,-2.7371380320368455
2019-02-01,6686.83,1886.58,28.213368666468263,2019,2,-3.7709728344320737
2019-03-01,7721.3099999999995,1950.12,25.256336036242555,2019,3,-11.66468937444729
2019-04-01,9717.38,2629.7799999999997,27.062644457662454,2019,4,-11.656889029500196
2019-05-01,12603.59,4284.07,33.99087085505003,2019,5,4.170682156677685
2019-06-01,13157.24,4331.61,32.92187419245982,2019,6,1.885430734348481
2019-07-01,14231.25,5321.3099999999995,37.391725955204215,2019,7,3.4863774295892824
2019-08-01,14051.550000000001,6069.7300000000005,43.19615985425095,2019,8,0.2429821601442228
2019-09-01,13621.0,5280.0,38.763673739079366,2019,9,8.516052345192747
2019-10-01,9572.04,2658.86,27.777359894024677,2019,10,-0.01827907234228654
2019-11-01,7437.43,3118.43,41.92886521284906,2019,11,-1.4339425601308298
2019-12-01,7556.86,2003.1599999999999,26.507835264911616,2019,12,-2.1214153199151653
2020-01-01,7792.97,1154.57,14.815532460666473,2020,1,0.3785624673153354
2020-02-01,7001.0,2524.0,36.051992572489645,2020,2,4.698339871059987
2020-03-01,6911.0,1656.0,23.961800028939372,2020,3,-10.494462727179709
2020-04-01,8392.0,2835.0,33.78217349857007,2020,4,-13.639273137409457
2020-05-01,12017.0,4948.0,41.17500208038612,2020,5,-4.65415012706697
2020-06-01,13288.0,5286.0,39.780252859723056,2020,6,0.9938254527545265
2020-07-01,14711.08,5849.639999999999,39.76349798927067,2020,7,3.3716644707949106
2020-08-01,14629.7,5859.76,40.05386303205124,2020,8,4.114492707210227
2020-09-01,13103.300347,5121.187229,39.08318586448715,2020,9,-3.80074629616034
2020-10-01,10243.994,3280.749,32.026073033623405,2020,10,7.019966485723006
2020-11-01,7479.401,3133.487,41.89489238509875,2020,11,0.5643212776456297
2020-12-01,7878.911,1960.948,24.88856645290193,2020,12,4.261703935232353
2021-01-01,8078.821878,1363.4162850000002,16.876424627120617,2021,1,3.668073635597202
2021-02-01,7281.0,2203.632,30.265512978986404,2021,2,3.9994286530495637
2021-03-01,8984.7968,1937.916,21.568835034755597,2021,3,30.007188540008677
2021-04-01,10480.9617,2909.088,27.755926252454486,2021,4,24.892298617731168
2021-05-01,13009.507117000001,3980.661079,30.59809294234002,2021,5,8.259192119497394
2021-06-01,14361.123653999999,4852.451495,33.788801015221736,2021,6,8.075885415412397
2021-07-01,15679.690896,5351.874868,34.13252788908805,2021,7,6.584226963621975
2021-08-01,16078.078,6235.313999999999,38.7814638043179,2021,8,9.900257694962988
2021-09-01,14026.987000000001,5395.111,38.46236543885012,2021,9,7.049267196347819
2021-10-01,11296.225271,2882.368282,25.516207519335687,2021,10,10.271689645659677
