date,year,month,month_name,source,category,generation_gwh,unit
2013-06-01,2013,6,Jun,Electricity Generation by Nuclear,Nuclear,431.67, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Hydel,Renewable,3447.77, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Wind,Renewable,14.51, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Coal,Fossil / Other,10.86, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Gas,Fossil / Other,2088.05, GWh
2013-07-01,2013,7,Jul,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,53.79, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Mixed,Fossil / Other,91.51, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3258.54, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Nuclear,Nuclear,359.58, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Hydel,Renewable,3966.18, GWh
2013-07-01,2013,7,Jul,Electricity Generation by Wind,Renewable,23.6, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Coal,Fossil / Other,13.25, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Gas,Fossil / Other,1755.24, GWh
2013-08-01,2013,8,Aug,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,139.07, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Mixed,Fossil / Other,91.05, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3267.76, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Nuclear,Nuclear,430.59, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Hydel,Renewable,3969.05, GWh
2013-08-01,2013,8,Aug,Electricity Generation by Wind,Renewable,35.07, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Coal,Fossil / Other,6.21, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Gas,Fossil / Other,1407.83, GWh
2013-09-01,2013,9,Sep,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,115.84, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Mixed,Fossil / Other,85.66, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3128.01, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Nuclear,Nuclear,431.0, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Hydel,Renewable,4141.74, GWh
2013-09-01,2013,9,Sep,Electricity Generation by Wind,Renewable,23.76, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Coal,Fossil / Other,13.78, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Gas,Fossil / Other,1282.46, GWh
2013-10-01,2013,10,Oct,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,250.42, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Mixed,Fossil / Other,84.49, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3321.39, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Nuclear,Nuclear,437.38, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Hydel,Renewable,2986.07, GWh
2013-10-01,2013,10,Oct,Electricity Generation by Wind,Renewable,11.54, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Coal,Fossil / Other,6.14, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Gas,Fossil / Other,1384.59, GWh
2013-11-01,2013,11,Nov,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,29.33, GWh
2013-11-01,2013,11,Nov,Electricity Generation by Mixed,Fossil / Other,86.18, GWh
